stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.85628,1,1599,-79.25245,,,,,14TH AV / HORSTMAN ST,0,2045,
43.866707,2,1596,-79.340341,,,,,HOLLINGHAM RD / BAYCLIFFE RD,0,2042,
43.856946,1,1597,-79.250189,,,,,CHATELAINE DR / 14TH AV,0,2043,
43.867724,1,1594,-79.342226,,,,,HOLLINGHAM RD / COLEDALE RD,0,2040,
43.858667,1,1595,-79.249965,,,,,ROXBURY ST / CHATELAINE DR,0,2041,
43.852438,1,1702,-79.43634,,,,,CARRVILLE RD STOP # 1702,0,2107,
43.891759,1,1866,-79.310087,,,,,WILLIAM BERCZY BLVD / GABLE AV,0,2188,
43.86158,2,1602,-79.338482,,,,,HOLLINGHAM RD / NADINE CRES,0,2048,
43.854444,1,1603,-79.258522,,,,,14TH AV / OLD 14TH AV,0,2049,
43.841654,1,1698,-79.487236,,,,,RUTHERFORD RD / FOREST RUN BLVD,0,2105,
43.777607,2,6764,-79.494548,,,,,KEELE ST / CHIMNEY STACK RD,0,6370,
43.812325,1,6755,-79.442814,,,,,CENTRE ST / ATKINSON AV,0,6371,
43.730328,2,6761,-79.601732,,,,,HUMBER COLLEGE BLVD / HIGHWAY 27,0,6372,
43.840558,1,1696,-79.492587,,,,,RUTHERFORD RD / CONFEDERATION PKWY,0,2104,
43.879136,1,1834,-79.278057,,,,,RAYMERVILLE DR / MERCER CRES,0,2159,
43.844648,1,3142,-79.253051,,,,,MARKHAM RD / DENISON ST,0,2639,
43.998905,1,2270,-79.445564,,,,,STONE RD / HAWTIN LANE,0,3519,
43.997306,1,2269,-79.447388,,,,,STONE RD / FIFE RD,0,3518,
44.001094,1,2258,-79.442997,,,,,BAYVIEW AV / STONE RD,0,3513,
44.005366,1,2257,-79.444088,,,,,BAYVIEW AV / WELLINGTON ST,0,3512,
44.009733,1,2256,-79.445006,,,,,BAYVIEW AV / RIVER RIDGE BLVD,0,3511,
44.019485,1,2255,-79.447196,,,,,BAYVIEW AV / PEDERSEN DR,0,3510,
43.994221,1,2268,-79.449104,,,,,STONE RD / CROW'S NEST GATE,0,3517,
43.993405,1,2267,-79.446044,,,,,STONE RD STOP # 2267,0,3516,
43.993853,1,2266,-79.444056,,,,,STONE RD / PRIMEAU DR,0,3515,
43.994272,1,2265,-79.442175,,,,,STONE RD / OCTOBER LANE,0,3514,
43.842485,2,6615,-79.571399,,,,,VELLORE AV / MAJOR MACKENZIE DR,0,6204,
43.84991,2,6616,-79.557531,,,,,RETREAT BLVD / VELLORE PARK AV,0,6205,
43.850479,2,6617,-79.554519,,,,RETREAT AV & TRUDEAU DR,RETREAT BLVD / TRUDEAU DR,0,6206,
43.850155,2,6618,-79.552719,,,,,RETREAT BLVD / CITYVIEW BLVD,0,6207,
43.833862,2,6611,-79.569396,,,,,DAVOS RD / VELLORE AV,0,6200,
43.83722,2,6612,-79.569468,,,,,VELLORE AV / AMY WOOD RD,0,6201,
43.83901,2,6613,-79.570178,,,,,VELLORE AV / MARIA ANTONIA RD,0,6202,
43.841492,2,6614,-79.571112,,,,,VELLORE AV / VIA TOSCANA,0,6203,
43.795922,2,6666,-79.606561,,,,,LANGSTAFF RD / VAUGHAN MILLS RD,0,6266,
43.845018,2,6619,-79.560167,,,,,MAJOR MACKENZIE DR / WESTON RD,0,6208,
43.842008,2,6620,-79.571375,,,,VELLORE AV & MAJOR MACKENZIE DR,VELLORE AV / EURO PLACE,0,6209,
44.048048,1,1997,-79.427388,,,,,LESLIE ST / MULOCK DR,0,3391,
43.840195,1,9821,-79.425775,,,,,RICHMOND HILL CENTRE PLATFORM 2,0,122,
43.890308,2,6140,-79.274032,,,,,MINGAY AV / GOLDEN MEADOW DR,0,5406,
44.02583,2,5027,-79.448298,,,,,BAYVIEW AV / BALLYMORE DR,0,3998,
44.042756,1,1995,-79.446665,,,,,MULOCK DR / TAPESTRY LANE,0,3389,
43.984317,1,9798,-79.463698,,,,YONGE ST & ALLAURA BLVD,YONGE / HENDERSON,0,99,
43.963169,1,9797,-79.459051,,,,YONGE ST & BLOOMINGTON RD,YONGE / BLOOMINGTON,0,98,
43.894655,1,9790,-79.442522,,,,YONGE ST & BERNARD AV,YONGE / BERNARD,0,91,
43.894363,1,9789,-79.442077,,,,,BERNARD TERMINAL PLATFORM 2,0,90,
43.908612,1,9792,-79.445827,,,,YONGE ST & 19TH AV,YONGE / 19TH-GAMBLE,0,93,
43.89403,1,9791,-79.44265,,,,YONGE ST & BERNARD AV,YONGE / BERNARD,0,92,
43.945095,1,9794,-79.454715,,,,YONGE ST & KING RD,YONGE / KING,0,95,
43.908087,1,9793,-79.446,,,,YONGE ST & GAMBLE RD,YONGE / 19TH-GAMBLE,0,94,
43.962687,1,9796,-79.458595,,,,YONGE ST & BLOOMINGTON RD,YONGE / BLOOMINGTON,0,97,
43.944757,1,9795,-79.45489,,,,YONGE ST & KING RD,YONGE / KING,0,96,
43.847533,1,1040,-79.399896,,,,,VALLEYMEDE DR / HAZELMERE DR,0,1623,
43.972795,1,5679,-79.258674,,,,,ELM RD / GLAD PARK AV,0,3206,
43.835534,1,5946,-79.533527,,,,,JANE ST / AUTO VAUGHAN DR,0,3205,
43.805334,1,1037,-79.411505,,,,,DONCASTER AV STOP # 1037,0,1620,
43.905151,1,5676,-79.458044,,,,,GAMBLE RD / HARVEST CRT,0,3203,
43.884872,1,5628,-79.233171,,,,,CHURCH ST / COUNTRY GLEN RD,0,3202,
43.849594,1,1042,-79.400872,,,,,VALLEYMEDE DR / BRIGGS AV,0,1625,
43.807414,2,1041,-79.409195,,,,,HENDERSON AV / PROCTOR AV,0,1624,
43.855282,2,1551,-79.339811,,,,,TOWN CENTRE BLVD / COX BLVD,0,1999,
43.883746,2,1550,-79.234295,,,,,BUTTERNUT LANE STOP # 1550,0,1998,
43.854758,1,1046,-79.40138,,,,,VALLEYMEDE DR / SHEILA CRES,0,1629,
43.813968,2,1045,-79.410333,,,,,HENDERSON AV / ELGIN ST,0,1628,
43.971165,2,5682,-79.256311,,,,,NINTH LINE / RUPERT AV,0,3209,
43.975373,1,5681,-79.257459,,,,,MILLARD ST / NINTH LINE,0,3208,
43.961294,1,4428,-79.467437,,,,,BLOOMINGTON RD / ACADEMY DR,0,2860,
43.889389,1,4429,-79.441911,,,,,ELGIN MILLS RD / YONGE ST,0,2861,
43.893744,1,4435,-79.41943,,,,,ELGIN MILLS RD / BAYVIEW AV,0,2862,
43.894439,1,4440,-79.413244,,,,,ELGIN MILLS RD / SHIRLEY DR,0,2863,
43.822734,1,3306,-79.453069,,,,,BATHURST ST / WORTH BLVD,0,559,
43.890121,1,4444,-79.438591,,,,,ELGIN MILLS RD / ENFORD RD,0,2865,
43.888964,1,4445,-79.443889,,,,,ELGIN MILLS RD / CREEKVIEW AV,0,2866,
43.962912,1,4447,-79.459865,,,,,BLOOMINGTON RD / YONGE ST,0,2867,
43.939099,1,3301,-79.481647,,,,,BATHURST ST / KING RD,0,555,
43.944562,2,3300,-79.482918,,,,,BATHURST ST / LAURIER AV,0,554,
43.902646,1,3303,-79.472012,,,,,BATHURST ST / GAMBLE RD,0,556,
43.938188,1,3297,-79.481127,,,,,BATHURST ST / KING RD,0,551,
43.931197,1,3296,-79.479309,,,,,BATHURST ST / KINGSHILL RD,0,550,
43.944245,1,3299,-79.482606,,,,,BATHURST ST / LAURIER AV,0,553,
43.941297,1,3298,-79.481847,,,,,BATHURST ST / PUCCINI DR,0,552,
44.191636,2,5866,-79.472201,,,,,RAVENSHOE RD STOP # 5866,0,5054,
43.844851,1,5867,-79.47304,,,,,RUTHERFORD RD / BLUE GROUSE RD,0,5055,
43.977941,2,4685,-79.46255,,,,,YONGE ST / GILBERT DR,0,1199,
43.994172,2,4684,-79.466302,,,,,YONGE ST / KENNEDY ST,0,1198,
43.840076,1,4646,-79.562528,,,,,MARIA ANTONIA RD / GEORGE GALE RD,0,1191,
43.829158,1,4638,-79.612229,,,,,ISLINGTON AV / TUSCAN WOODS TRL,0,1190,
43.980635,1,4678,-79.462813,,,,,YONGE ST / INDUSTRIAL PKWY,0,1193,
43.882786,1,4676,-79.440034,,,,,YONGE ST / LEVENDALE RD,0,1192,
44.072654,1,4680,-79.485451,,,,,GREEN LANE / YONGE ST,0,1195,
44.034363,1,4679,-79.475434,,,,,YONGE ST STOP # 4679,0,1194,
43.996791,2,4683,-79.46697,,,,,YONGE ST / CHURCH ST,0,1197,
44.006481,1,4681,-79.469345,,,,,YONGE ST / VALHALLA CRT,0,1196,
43.841638,1,1232,-79.268546,,,,,DENISON ST / FEATHERSTONE AV,0,1759,
43.84233,1,1230,-79.274086,,,,,DENISON ST / COPPARD AV,0,1758,
43.841367,1,1228,-79.278361,,,,,DENISON ST / MCCOWAN RD,0,1757,
43.87603,1,1221,-79.426069,,,,,RICHMOND HILL GO STATION PLATFORM 7,0,1755,
43.875888,1,1219,-79.426188,,,,,RICHMOND HILL GO STATION PLATFORM 6,0,1754,
